geoid,name,B01003001,"B01003001, Error"
14000US17031310500,"Census Tract 3105, Cook, IL",1387,279
14000US17031310600,"Census Tract 3106, Cook, IL",4377,746
14000US17031310700,"Census Tract 3107, Cook, IL",1456,251
14000US17031310800,"Census Tract 3108, Cook, IL",4397,711
14000US17031310900,"Census Tract 3109, Cook, IL",5466,630
14000US17031320100,"Census Tract 3201, Cook, IL",12739,1113
14000US17031320400,"Census Tract 3204, Cook, IL",3167,354
14000US17031320600,"Census Tract 3206, Cook, IL",4672,526
14000US17031330100,"Census Tract 3301, Cook, IL",19015,1381
14000US17031330200,"Census Tract 3302, Cook, IL",3727,276
14000US17031340300,"Census Tract 3403, Cook, IL",1792,206
14000US17031340400,"Census Tract 3404, Cook, IL",2150,252
14000US17031340500,"Census Tract 3405, Cook, IL",1638,162
14000US17031340600,"Census Tract 3406, Cook, IL",995,198
14000US17031350100,"Census Tract 3501, Cook, IL",2239,219
14000US17031350400,"Census Tract 3504, Cook, IL",1856,193
14000US17031351000,"Census Tract 3510, Cook, IL",3776,431
14000US17031351100,"Census Tract 3511, Cook, IL",2102,249
14000US17031351400,"Census Tract 3514, Cook, IL",1939,246
14000US17031351500,"Census Tract 3515, Cook, IL",507,116
14000US17031360200,"Census Tract 3602, Cook, IL",1583,223
14000US17031380100,"Census Tract 3801, Cook, IL",1932,293
14000US17031380200,"Census Tract 3802, Cook, IL",1845,231
14000US17031380500,"Census Tract 3805, Cook, IL",800,168
14000US17031380700,"Census Tract 3807, Cook, IL",1243,228
14000US17031381200,"Census Tract 3812, Cook, IL",1792,293
14000US17031381400,"Census Tract 3814, Cook, IL",1660,322
14000US17031381500,"Census Tract 3815, Cook, IL",341,117
14000US17031381700,"Census Tract 3817, Cook, IL",0,11
14000US17031381800,"Census Tract 3818, Cook, IL",1034,160
14000US17031381900,"Census Tract 3819, Cook, IL",1282,191
14000US17031390100,"Census Tract 3901, Cook, IL",1464,166
14000US17031390200,"Census Tract 3902, Cook, IL",1718,208
14000US17031390300,"Census Tract 3903, Cook, IL",2830,455
14000US17031390400,"Census Tract 3904, Cook, IL",2509,430
14000US17031390500,"Census Tract 3905, Cook, IL",1462,176
14000US17031390600,"Census Tract 3906, Cook, IL",1829,157
14000US17031390700,"Census Tract 3907, Cook, IL",5377,486
14000US17031400300,"Census Tract 4003, Cook, IL",1347,201
14000US17031400400,"Census Tract 4004, Cook, IL",1886,360
14000US17031400500,"Census Tract 4005, Cook, IL",1986,351
14000US17031400800,"Census Tract 4008, Cook, IL",2847,548
14000US17031410100,"Census Tract 4101, Cook, IL",2025,208
14000US17031410200,"Census Tract 4102, Cook, IL",1562,162
14000US17031410500,"Census Tract 4105, Cook, IL",2463,294
14000US17031410600,"Census Tract 4106, Cook, IL",2643,334
14000US17031410700,"Census Tract 4107, Cook, IL",2015,248
14000US17031410800,"Census Tract 4108, Cook, IL",2987,355
14000US17031410900,"Census Tract 4109, Cook, IL",3078,264
14000US17031411000,"Census Tract 4110, Cook, IL",3128,386
14000US17031411100,"Census Tract 4111, Cook, IL",2239,189
14000US17031411200,"Census Tract 4112, Cook, IL",1681,136
14000US17031420100,"Census Tract 4201, Cook, IL",1331,152
14000US17031420200,"Census Tract 4202, Cook, IL",1688,316
14000US17031420300,"Census Tract 4203, Cook, IL",2625,238
14000US17031420400,"Census Tract 4204, Cook, IL",1180,163
14000US17031420500,"Census Tract 4205, Cook, IL",1704,446
14000US17031420600,"Census Tract 4206, Cook, IL",2017,239
14000US17031420700,"Census Tract 4207, Cook, IL",3269,502
14000US17031420800,"Census Tract 4208, Cook, IL",2077,334
14000US17031421200,"Census Tract 4212, Cook, IL",1497,295
14000US17031430101,"Census Tract 4301.01, Cook, IL",3431,448
14000US17031430102,"Census Tract 4301.02, Cook, IL",2944,327
14000US17031430200,"Census Tract 4302, Cook, IL",4866,723
14000US17031430300,"Census Tract 4303, Cook, IL",2391,307
14000US17031430400,"Census Tract 4304, Cook, IL",2934,530
14000US17031430500,"Census Tract 4305, Cook, IL",3543,512
14000US17031430600,"Census Tract 4306, Cook, IL",1732,277
14000US17031430700,"Census Tract 4307, Cook, IL",2562,355
